task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	4b/d328e5	29777	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-12-22 18:54:05.776	630ms	9ms	24.4%	0	0	77.5 KB	4.2 KB
2	ca/e065f2	29823	prepare_databases:check_reference_ref2taxid	COMPLETED	0	2024-12-22 18:54:05.786	3.9s	3.3s	9.3%	3 MB	10.8 MB	535.4 MB	249 B
23	a4/18c9ad	29771	fastcat (20)	COMPLETED	0	2024-12-22 18:54:05.765	5s	4.4s	110.0%	89.9 MB	512.2 MB	746.7 MB	219.8 MB
1	2e/92fb53	29615	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-12-22 18:54:05.533	5.9s	4.9s	79.6%	42.6 MB	2.5 GB	12.3 MB	3 KB
22	b0/a453b2	29703	fastcat (19)	COMPLETED	0	2024-12-22 18:54:05.735	6.4s	5.8s	171.2%	90 MB	512.2 MB	849.9 MB	369.4 MB
12	ff/b64603	29635	fastcat (9)	COMPLETED	0	2024-12-22 18:54:05.680	8.3s	7.7s	69.0%	90 MB	512.6 MB	1.5 GB	214.1 MB
15	e7/bb2428	33399	fastcat (12)	COMPLETED	0	2024-12-22 18:54:11.418	9.4s	9.2s	147.3%	90 MB	512.4 MB	2.2 GB	656.8 MB
5	e3/38d15c	33165	fastcat (2)	COMPLETED	0	2024-12-22 18:54:10.824	13.5s	13.3s	237.2%	90 MB	512.2 MB	3.3 GB	1.3 GB
14	25/55a98f	38465	fastcat (11)	COMPLETED	0	2024-12-22 18:54:20.873	3.7s	3.3s	224.4%	89.6 MB	512.2 MB	889.7 MB	392.3 MB
8	f6/ec61d7	29656	fastcat (5)	COMPLETED	0	2024-12-22 18:54:05.725	22.3s	21.7s	121.1%	89.9 MB	512.2 MB	2.9 GB	1.4 GB
9	3a/5c042a	39847	fastcat (6)	COMPLETED	0	2024-12-22 18:54:24.743	3.9s	3.7s	42.0%	88.8 MB	512.2 MB	346.9 MB	54.9 MB
18	28/01c805	35093	fastcat (15)	COMPLETED	0	2024-12-22 18:54:14.047	20.3s	20.1s	29.2%	89.8 MB	512.2 MB	1.7 GB	224.5 MB
17	b5/dff7ad	39777	fastcat (14)	COMPLETED	0	2024-12-22 18:54:24.345	11.8s	11.2s	270.7%	90 MB	512.2 MB	2.8 GB	1.2 GB
7	bd/a00de9	41401	fastcat (4)	COMPLETED	0	2024-12-22 18:54:28.685	10.9s	10.6s	195.7%	89.9 MB	512.2 MB	2.5 GB	1.1 GB
11	cd/dc0dd6	44288	fastcat (8)	COMPLETED	0	2024-12-22 18:54:36.164	8.9s	8.6s	234.1%	90 MB	512.2 MB	2 GB	780.7 MB
16	c1/d20722	43479	fastcat (13)	COMPLETED	0	2024-12-22 18:54:34.348	11.7s	11.4s	224.4%	90 MB	512.2 MB	2.6 GB	1009.2 MB
6	f3/851a53	41029	fastcat (3)	COMPLETED	0	2024-12-22 18:54:28.057	20.5s	20.3s	235.7%	90.1 MB	512.2 MB	5.1 GB	1.8 GB
13	a5/f0f551	34045	fastcat (10)	COMPLETED	0	2024-12-22 18:54:12.188	38.8s	38.6s	117.1%	89.9 MB	512.2 MB	4.9 GB	2.5 GB
20	b2/033670	47980	fastcat (17)	COMPLETED	0	2024-12-22 18:54:45.091	11.8s	11.3s	98.0%	89.6 MB	512.2 MB	1.3 GB	596.3 MB
4	3c/098e43	48362	fastcat (1)	COMPLETED	0	2024-12-22 18:54:46.024	13.6s	13.3s	106.1%	87.8 MB	512.2 MB	1.8 GB	793.2 MB
19	d7/af6132	49543	fastcat (16)	COMPLETED	0	2024-12-22 18:54:48.613	18.6s	18.3s	146.0%	89.9 MB	512.2 MB	3.4 GB	1.5 GB
