sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
m17,81,NC_071016.1,1,36396,41,9723,26.7145,0.530635,36.6,57.7,2576871,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Bocovirus,Bocovirus X14,0.5306352346411694,1.4433932019430247,2.720123180133502,0.71
m17,62,NC_048671.1,1,40907,74,9527,23.2894,0.843621,35.5,32.1,2847823,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Veravirus,Veravirus septentrionalis,0.843620896,2.203335214008472,2.6117598840754725,1.28
m17,40,NC_029100.1,1,33399,34,5469,16.3747,0.381359,37.6,44.5,1667322,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudoalteromonas phage Pq0,0.3813587233150693,1.393650874715687,3.6544355471955114,0.59
m17,13,NC_014748.1,1,5639,45,4635,82.1954,3.81468,33.7,47.9,3052706,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Baphyvirales,Bacilladnaviridae,Protobacilladnavirus,Protobacilladnavirus tenuis,3.8146834545132116,5.5714314511269025,1.4605226141464647,0.78
m17,27,NC_021864.1,1,55282,18,3946,7.13795,0.119207,36.7,39.2,948071,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Puniceispirillum phage HMO-2011,0.11920697514561703,0.46486529634555374,3.8996484541084824,0.31
m17,3,NC_002519.1,1,39898,23,3816,9.56439,0.223194,34.9,22.5,2905867,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Siovirus,Siovirus americense,0.22319414506992832,0.9875085289989419,4.424437427288016,0.4
m17,28,NC_022790.1,1,4129,165,3255,78.8326,17.2185,35.6,55.4,1385658,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Marine gokushovirus,17.218454831678372,15.516668540687343,0.9011649821295175,2.85
m17,87,NC_077036.1,1,6089,21,3232,53.0793,1.71079,36.4,16.3,748192,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,unclassified Parvoviridae genus,uncultured densovirus,1.7107899490885203,2.1001255583586618,1.2275765119368236,0.36
m17,63,NC_048672.1,1,40163,20,3011,7.49695,0.200608,34.2,38.4,2847822,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Siovirus,Siovirus germanense,0.20060752433832135,0.9768210422409827,4.8693140771409436,0.35
m17,76,NC_070826.1,1,37211,22,2311,6.21053,0.2388,37.4,37.5,1357707,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pseudoalteromonas phage HS1,0.23880035473381528,1.2904498484098588,5.403885810170972,0.38
