sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
dolphin_feces,0,NC_000898.1,1,162114,1,105,0.0647692,0.000647692,37.7,2,32604,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6b,0.000647692,0.025441558,39.28031132,0
dolphin_feces,1,NC_001493.2,1,134226,2381,100,0.0745012,1.31516,36.3,4.23,10401,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo1,1.315155037,54.58703171,41.5061572,1.41
dolphin_feces,2,NC_001650.2,1,184439,4804,1317,0.714057,10.8984,29.5,0.25,12657,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma2,10.89841628,143.1018222,13.13051534,2.85
dolphin_feces,3,NC_001664.4,1,159378,211,1435,0.900375,0.367228,38.1,4.09,32603,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a,0.367227597,6.034677125,16.43307085,0.13
dolphin_feces,5,NC_001716.2,1,153080,11459,4601,3.00562,28.56,29.2,0.057,10372,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta7,28.56004703,318.8987408,11.16590391,6.81
dolphin_feces,6,NC_001731.1,1,190289,1,172,0.0903888,0.000903888,42.4,0,10280,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Molluscipoxvirus,Molluscum contagiosum virus,0.000903888,0.030051144,33.24652456,0
dolphin_feces,7,NC_001806.2,1,152222,1,185,0.121533,0.00121533,35.8,1,10298,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus humanalpha1,0.00121533,0.034840396,28.66743137,0
dolphin_feces,8,NC_001875.2,1,131995,18,688,0.521232,0.0465851,38.6,6.83,262177,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus orpseudotsugatae,0.046585098,0.774907378,16.6342331,0.01
dolphin_feces,9,NC_001987.1,1,108409,1,121,0.111614,0.00111614,34.7,1,85618,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus atelinegamma3,0.001116143,0.033390084,29.91558371,0
dolphin_feces,11,NC_002531.1,1,130608,3,320,0.245008,0.00492313,29.8,9.33,35252,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus alcelaphinegamma1,0.004923129,0.107375135,21.81034462,0
dolphin_feces,12,NC_002577.1,1,164270,218,1118,0.680587,0.536318,28.2,2.88,35250,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha3,0.536318257,7.803133682,14.54944632,0.13
dolphin_feces,15,NC_006560.1,1,150715,15,304,0.201705,0.0178814,27.9,16.3,10317,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus cercopithecinealpha2,0.017881432,0.432213232,24.17106389,0.01
dolphin_feces,16,NC_007346.1,1,407339,5780,2343,0.575197,4.62549,35.5,7.68,181082,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,Emiliania huxleyi virus 86,4.625486388,106.2795876,22.97695391,3.43
dolphin_feces,17,NC_007646.1,1,135135,93,987,0.730381,0.137699,35.6,4.61,10398,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus ovinegamma2,0.137699338,2.219720577,16.12005267,0.06
dolphin_feces,18,NC_008168.1,1,104710,273,91,0.0869067,0.228144,38.7,18,56947,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus chofumiferanae,0.228144399,7.781002886,34.1056056,0.16
dolphin_feces,19,NC_008291.1,1,198050,3,47,0.0237314,0.000661449,40.1,1,28871,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Orthopoxvirus,Taterapox virus,0.000661449,0.043970644,66.47623,0
dolphin_feces,20,NC_008908.1,1,3083,92,153,4.9627,3.58612,37.3,1.58,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,3.586117418,16.96415757,4.730508122,0.05
dolphin_feces,21,NC_008912.1,1,3141,277,442,14.072,25.3862,38.8,6.74,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,25.38618274,67.83727407,2.672212469,0.16
dolphin_feces,22,NC_008913.1,1,3157,191,534,16.9148,8.20621,32.1,4.55,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,8.206208426,31.79354508,3.874328244,0.11
dolphin_feces,23,NC_008976.1,1,4188,68,79,1.88634,1.05158,36.4,2.22,265522,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fugitivi,1.051575931,8.225407031,7.821981073,0.04
dolphin_feces,24,NC_009127.1,1,295146,3,187,0.0633585,0.000948683,26.3,0,180230,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo3,0.000948683,0.039723791,41.87256481,0
dolphin_feces,25,NC_009333.1,1,137969,6,238,0.172503,0.00699432,37.3,13.8,37296,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus humangamma8,0.006994325,0.183510345,26.23703498,0
dolphin_feces,26,NC_009424.5,1,5779,4,66,1.14207,0.0391071,38.8,1.5,11970,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,Woolly monkey sarcoma virus,0.039107112,0.374651431,9.58013549,0
dolphin_feces,27,NC_011588.1,1,127615,7,225,0.176312,0.00332249,35.2,0.571,92521,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus oryrhinocerotis,0.003322493,0.093957689,28.27927005,0
dolphin_feces,28,NC_013668.3,1,248526,23,82,0.0329945,0.00628103,31,10.5,150286,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus anguillidallo1,0.006281033,0.365447951,58.18277868,0.01
dolphin_feces,29,NC_014567.1,1,156742,4,425,0.271146,0.00551224,24.8,0.5,10353,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus saimiriinealpha1,0.005512243,0.115948209,21.03466911,0
dolphin_feces,30,NC_016448.1,1,196691,4,108,0.0549085,0.00106766,35.2,0,1535247,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Cytomegalovirus,Cytomegalovirus saimiriinebeta4,0.001067665,0.051208049,47.96267823,0
dolphin_feces,31,NC_018874.1,1,211518,6,124,0.0586239,0.00175399,39.9,0,1241371,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Malacoherpesviridae,Aurivirus,Aurivirus haliotidmalaco1,0.001753988,0.076453421,43.58834147,0
dolphin_feces,32,NC_019491.1,1,291144,6270,4991,1.71427,6.24908,29.8,0.101,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,6.249076059,115.4172504,18.46949043,3.72
dolphin_feces,33,NC_019495.1,1,290304,10,1157,0.398548,0.00715801,31,0.1,317878,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo2,0.007158014,0.142114402,19.85388799,0.01
dolphin_feces,34,NC_019522.1,1,48454,10,244,0.50357,0.0281298,39,7.7,1127516,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pectobacterium phage ZF40,0.028129773,0.446563797,15.87513002,0.01
dolphin_feces,36,NC_020865.1,1,45730,2,426,0.931555,0.0185874,38.2,1,889951,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Sednavirus,Sednavirus SRIP2,0.018587361,0.191795454,10.31859544,0
dolphin_feces,37,NC_021312.1,1,459984,287,1068,0.232182,0.186861,35.5,5.01,251749,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prymnesiovirus,Phaeocystis globosa virus,0.186860847,5.81128065,31.09950925,0.17
dolphin_feces,38,NC_022052.1,1,76050,20,171,0.224852,0.038146,37.4,1.4,1340826,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Vilmaviridae,Lumosvirus,Lumosvirus whirlwind,0.038145957,0.836324718,21.92433465,0.01
dolphin_feces,39,NC_023677.1,1,153158,5,365,0.238316,0.0055433,32,0.6,332937,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus paninealpha3,0.005543295,0.131446547,23.71270934,0
dolphin_feces,40,NC_024303.1,1,144898,4,225,0.155282,0.00571436,35.5,1,1504288,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus bovinegamma6,0.005714365,0.146674937,25.66775969,0
dolphin_feces,41,NC_024382.1,1,137090,51,821,0.598877,0.0793785,36.5,2.24,138184,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus alcelaphinegamma2,0.07937851,1.258673904,15.85660775,0.03
dolphin_feces,42,NC_024486.1,1,43734,23,175,0.400146,0.0725065,32.5,14.4,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.072506517,1.196050361,16.49576364,0.01
dolphin_feces,43,NC_024692.1,1,119638,4,126,0.105318,0.00299236,30.8,1,1529056,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Gammanudivirus,Gammanudivirus pemonodonis,0.00299236,0.09610203,32.11579518,0
