sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
sealion_serum,4,NC_001716.2,1,153080,67,1712,1.11837,0.194349,29.9,0.0448,10372,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta7,0.19434935981186308,2.1473254860069386,11.048791146446915,5.6
sealion_serum,7,NC_007346.1,1,407339,22,1260,0.309325,0.0154662,36.2,11.2,181082,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,Emiliania huxleyi virus 86,0.015466233284807004,0.3770907573888019,24.381551114920185,1.84
sealion_serum,2,NC_001650.2,1,184439,43,1171,0.634898,0.0995072,28.7,0.605,12657,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma2,0.099507154,1.398256769209006,14.051821514528408,3.6
sealion_serum,13,NC_019491.1,1,291144,46,1030,0.353777,0.0436588,30.6,0.0435,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,0.043658808,0.8668223241839103,19.854466112202058,3.85
sealion_serum,27,NC_076967.1,1,133999,3,815,0.608213,0.0159628,26.8,0.667,2597325,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus colobinegamma1,0.015962805692579796,0.208493155,13.061184802615662,0.25
sealion_serum,6,NC_002577.1,1,164270,3,589,0.358556,0.00455348,28.7,18.3,35250,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha3,0.004553479,0.080427497,17.66286745324927,0.25
sealion_serum,12,NC_019421.1,1,48396,1,473,0.977354,0.00977354,40.6,29,1204534,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Colneyvirus,Colneyvirus MMP02,0.009773535,0.098376893,10.065640801048357,0.08
sealion_serum,10,NC_008912.1,1,3141,6,442,14.072,0.59567,38.7,4.67,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.5956701687360713,1.6576164130010214,2.7827756030124045,0.5
sealion_serum,8,NC_007646.1,1,135135,1,362,0.26788,0.0026788,39.3,1,10398,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus ovinegamma2,0.002678803,0.051687780906232654,19.295105725866712,0.08
sealion_serum,22,NC_041925.1,1,54836,2,357,0.651032,0.00795098,33.8,60,1969841,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Gorganvirus,Gorganvirus isfahan,0.007950981,0.10377418681141262,13.051746119244546,0.17
sealion_serum,26,NC_074583.1,1,4387,64,299,6.81559,3.91201,36.8,29.4,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,3.912012764987463,14.641495289099616,3.742701307148352,5.35
sealion_serum,14,NC_021312.1,1,459984,2,295,0.0641327,0.000641327,37.2,0.5,251749,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prymnesiovirus,Phaeocystis globosa virus,0.000641327,0.025316306108158035,39.47490084357616,0.17
sealion_serum,23,NC_044937.1,1,326592,1,255,0.0780791,0.000780791,38,3,42683,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus A1,0.000780791,0.027931722,35.77363472,0.08
sealion_serum,3,NC_001664.4,1,159378,3,238,0.149331,0.00374581,39.3,1.67,32603,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a,0.003745812,0.1006561486887609,26.871651031352318,0.25
sealion_serum,5,NC_001875.2,1,131995,1,232,0.175764,0.00175764,36,20,262177,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Alphabaculovirus,Alphabaculovirus orpseudotsugatae,0.001757642,0.041887385,23.83157496929734,0.08
sealion_serum,21,NC_040536.1,1,183261,96,227,0.123867,0.0665499,35.4,16.5,2072209,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,0.066549893,2.281108272201035,34.27666309214774,8.03
sealion_serum,24,NC_053505.1,1,76075,5,163,0.214262,0.00863621,35.7,1,2015885,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Vilmaviridae,Lumosvirus,Lumosvirus krypton555,0.008636214,0.19339490849215615,22.393481984080335,0.42
sealion_serum,16,NC_028843.1,1,75816,3,147,0.19389,0.0050517,40,1,1698711,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Vilmaviridae,Lumosvirus,Lumosvirus lolly9,0.005051704,0.1197422355832795,23.703335073059836,0.25
sealion_serum,11,NC_008913.1,1,3157,1,142,4.49794,0.0449794,31.1,1,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.044979411,0.20725892847879784,4.607862234,0.08
sealion_serum,25,NC_074405.1,1,3924,549,136,3.46585,16.7966,37.4,21.8,2786389,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,16.79663608562691,91.59671742545324,5.453277487,45.9
sealion_serum,0,NC_000898.1,1,162114,3,108,0.0666198,0.00194925,36.6,20.3,32604,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6b,0.001949246,0.075878707,38.92721763384468,0.25
sealion_serum,9,NC_008168.1,1,104710,237,90,0.0859517,0.202808,38.4,31.7,56947,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus chofumiferanae,0.20280775475121765,6.916060275801313,34.10155733090768,19.82
sealion_serum,1,NC_001493.2,1,134226,17,85,0.063326,0.00947655,37.5,3.47,10401,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Ictavirus,Ictavirus ictaluridallo1,0.009476554,0.39410623959892926,41.587503236168146,1.42
sealion_serum,18,NC_035797.1,1,142974,3,69,0.0482605,0.00125897,36.6,0.667,2029293,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,unclassified Poxviridae genus,Squirrelpox virus Berlin_2015,0.00125897,0.059241395,47.05544011529852,0.25
sealion_serum,19,NC_037666.1,1,2003191,8,64,0.0031949,0.000251099,38.6,1,2107708,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,Pandoravirus,Pandoravirus neocaledonia,0.000251099,0.044489087527267615,177.17721616865754,0.67
sealion_serum,17,NC_033774.1,1,8913,4,58,0.650735,0.0260294,38.3,3,1414655,Viruses,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,Orthotospovirus capsicimaculaflavi,0.026029395,0.3216209751298751,12.356067893674899,0.33
sealion_serum,15,NC_028267.1,1,7771,2,52,0.669155,0.012611,41,1.5,2848317,Viruses,Shotokuvirae,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Rhopapillomavirus,Rhopapillomavirus 2,0.012610989576631064,0.15585519141982201,12.358680535953438,0.17
sealion_serum,20,NC_038553.1,1,274793,3,51,0.0185594,0.000549505,39.7,0.333,97195,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Raphidovirus,Heterosigma akashiwo virus 01,0.000549505,0.040508437,73.71811164300951,0.25
