sample,sample.type,sample.number,index,reference,startpos,ref.length,number.of.reads,covbases,pc.coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
01_dolphin_feces_SQK-NBD114-24_barcode15,dolphin feces,94,76,NC_043404.1,1,1928,1,176,9.12863,0.0912863,37.9,15,11866,Viruses,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,Avian myeloblastosis virus,0.091286307,0.288015828,3.15508248,0
m17_SQK-NBD114-24_barcode16,mussel,62,52,NC_038532.1,1,5050,55,1363,26.9901,5.04515,34.3,41.8,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,5.045148514851485,11.804426977412863,2.339758075042584,0.95
sd4_SQK-NBD114-24_barcode19,sd seawater,93,175,NC_038532.1,1,5050,55,1193,23.6238,3.82178,37.6,51.3,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,3.821782178,12.58084041,3.29187793,0.29
m12_SQK-NBD114-24_barcode11,mussel,57,20,NC_038532.1,1,5050,1,934,18.495,0.18495,34.1,37,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.18495049504950495,0.38825740099893685,2.099250401546714,0.04
m09_SQK-NBD114-24_barcode08,mussel,54,18,NC_038532.1,1,5050,6,866,17.1485,0.544554,35.4,13.5,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.544554455,1.366970724,2.510255329,0.79
sd1_SQK-NBD114-24_barcode16,sd seawater,90,163,NC_038532.1,1,5050,10,837,16.5743,0.72,37.6,43.1,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.72,1.998320087,2.775444565,0.07
m08_SQK-NBD114-24_barcode07,mussel,53,21,NC_038532.1,1,5050,1,773,15.3069,0.153069,32.5,60,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.153069307,0.360054293,2.352230507,0.04
m13_SQK-NBD114-24_barcode12,mussel,58,18,NC_038532.1,1,5050,3,756,14.9703,0.307327,34.1,60,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.3073267326732673,0.7939160879034386,2.5832965489126063,0.2
m03_SQK-NBD114-24_barcode02,mussel,48,9,NC_038532.1,1,5050,1,743,14.7129,0.147129,31,60,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.147128713,0.354234181,2.407648199,0.21
m10_SQK-NBD114-24_barcode09,mussel,55,20,NC_038532.1,1,5050,2,741,14.6733,0.146733,36.9,41,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.14673267326732672,0.3538392231835683,2.411454894840783,0.17
m06_SQK-NBD114-24_barcode05,mussel,51,18,NC_038532.1,1,5050,2,696,13.7822,0.23604,34.4,60,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.236039604,0.613808238,2.600445974,0.05
m11_SQK-NBD114-24_barcode10,mussel,56,17,NC_038532.1,1,5050,1,577,11.4257,0.114257,30.6,60,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.11425742574257426,0.3181236652706831,2.7842712471697566,0.21
m04_SQK-NBD114-24_barcode03,mussel,49,19,NC_038532.1,1,5050,2,509,10.0792,0.166139,39.5,1,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.166138614,0.518873438,3.123135708,0.09
sd2_SQK-NBD114-24_barcode17,sd seawater,91,162,NC_038532.1,1,5050,39,496,9.82178,2.58,37.8,51.9,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,2.58,9.252349768,3.586182081,0.24
m14_SQK-NBD114-24_barcode13,mussel,59,28,NC_038532.1,1,5050,1,391,7.74257,0.0774257,35.7,23,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.077425743,0.2672657796297199,3.451898176803288,0.03
S09_SQK-NBD114-24_barcode03, bay seawater,82,111,NC_024486.1,1,43734,37,205,0.468743,0.126401,32.2,9.14,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.1264005121873142,1.985526688115322,15.708217108906565,0.25
oy12_SQK-NBD114-24_barcode04,oyster,4,32,NC_024486.1,1,43734,16,203,0.46417,0.050487,33,5.56,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.050487035,0.80547988,15.95419252,0.02
m31_SQK-NBD114-24_barcode09,mussel,74,23,NC_024486.1,1,43734,2,192,0.439018,0.00720263,40.3,2.5,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.007202634,0.113029511,15.69280205,0
S07_SQK-NBD114-24_barcode02, bay seawater,81,107,NC_024486.1,1,43734,6,192,0.439018,0.0201216,31.3,7.83,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.020121644487126722,0.3246089124025143,16.132325198876774,0.01
S02_SQK-NBD114-24_barcode01, bay seawater,80,70,NC_024486.1,1,43734,3,190,0.434445,0.00999223,29.8,4.33,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.009992226,0.15950211478405826,15.962621253926784,0.15
oy11_SQK-NBD114-24_barcode03,oyster,3,36,NC_024486.1,1,43734,4,181,0.413866,0.0138794,32.5,3.75,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.013879362,0.225230644,16.22773806,0.01
oy26_SQK-NBD114-24_barcode15,oyster,15,19,NC_024486.1,1,43734,1,180,0.411579,0.00411579,35.6,1,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.004115791,0.064022271,15.55527778,0.03
S09_SQK-NBD114-24_barcode03, bay seawater,82,65,NC_015323.1,1,45667,3,185,0.405107,0.0114306,35.3,1.67,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.011430573499463508,0.18099616809040076,15.834390820276496,0.02
01_dolphin_feces_SQK-NBD114-24_barcode15,dolphin feces,94,42,NC_024486.1,1,43734,23,175,0.400146,0.0725065,32.5,14.4,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.072506517,1.196050361,16.49576364,0.01
S14_SQK-NBD114-24_barcode04, bay seawater,83,87,NC_024486.1,1,43734,5,175,0.400146,0.0153428,35.4,2.6,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.015342753921434124,0.2550404222074867,16.622858159198543,0.08
oy54_SQK-NBD114-24_barcode13,oyster,37,34,NC_024486.1,1,43734,1,174,0.39786,0.0039786,37.6,1,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.003978598,0.062950525,15.82228895,0.01
sd4_SQK-NBD114-24_barcode19,sd seawater,93,48,NC_015323.1,1,45667,2,181,0.396347,0.00678827,37.9,2.5,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.006788272,0.111318394,16.39863576,0.01
m34_SQK-NBD114-24_barcode12,mussel,77,24,NC_024486.1,1,43734,2,171,0.391,0.00745415,34.9,2,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.007454155,0.120361526,16.14690477,0
m14_SQK-NBD114-24_barcode13,mussel,59,16,NC_024486.1,1,43734,2,170,0.388714,0.00717977,33.1,2.5,1520006,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Duck aviadenovirus B,0.007179769,0.11710458997168915,16.310357126821188,0.06
S09_SQK-NBD114-24_barcode03, bay seawater,82,258,NC_075488.1,1,45810,2,173,0.377647,0.00639598,30,2,190063,Viruses,Bamfordvirae,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Aviadenovirus,Fowl aviadenovirus C,0.006395983,0.10767592853216565,16.834929303953952,0.01
