sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
s31,152,NC_048031.1,1,20430,210,17692,86.5981,4.98781,37.4,43.5,743543,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pekhitvirus,Pekhitvirus S04C24,4.987812041116006,5.847875580968313,1.1724330293047431,3.83
s31,44,NC_015465.1,1,33004,89,24082,72.9669,1.83981,36.7,50.9,753085,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Synechococcus phage S-CBS3,1.839807296085323,2.165551947,1.1770536790897694,1.63
s31,95,NC_025464.1,1,44147,435,29763,67.4179,4.7671,37.6,5.17,754059,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Poseidonvirus,Poseidonvirus SCBP4,4.7670962919337665,7.829628649342863,1.642431402653036,7.94
s31,159,NC_048183.1,1,41824,414,27126,64.8575,5.35188,37.4,0.633,754059,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Poseidonvirus,Poseidonvirus SCBP4,5.351879303749044,12.270880655329814,2.292817150553814,7.56
s31,73,NC_020867.1,1,44892,184,25473,56.7428,2.07756,38.1,42.8,754041,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Kajamvirus,Kajamvirus SRIP1,2.0775639312126883,3.417312619099378,1.6448652037892615,3.36
s31,91,NC_024489.1,1,8842,41,4816,54.4673,3.77957,38.7,18.9,1522179,Viruses,Orthornavirae,Pisuviricota,Pisoniviricetes,Picornavirales,Marnaviridae,Kusarnavirus,Astarnavirus,3.7795747568423432,6.300578123,1.667007144604706,0.75
s31,93,NC_025456.1,1,46547,240,20519,44.0823,2.47644,37.4,35.1,1273711,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,unclassified Autographiviridae genus,Synechococcus phage S-CBP1,2.476443164973038,6.258794778793536,2.527332291456678,4.38
s31,46,NC_016164.1,1,30332,60,13157,43.3766,1.5086,35.3,45.4,909297,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Synechococcus phage S-CBS1,1.5086047738362125,2.4013900030588107,1.5917953096173398,1.1
s31,85,NC_021864.1,1,55282,163,23808,43.0665,2.0572,38.9,35.7,948071,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Puniceispirillum phage HMO-2011,2.057197641185196,3.626150306850735,1.7626650129550177,2.98
s31,69,NC_020854.1,1,40658,102,16915,41.6031,1.44464,36.9,44.8,889953,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Cyanophage KBS-S-2A,1.4446357420433864,2.899355762281747,2.006980498890821,1.86
s31,96,NC_026636.1,1,1981,6,716,36.1434,1.00404,38.8,60,1618233,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Avon-Heathcote Estuary associated circular virus 10,1.0040383644623927,1.5572480699231273,1.550984629,0.11
s31,58,NC_020481.1,1,34892,48,12581,36.057,0.886163,38.6,46.8,1283077,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pelagibacter phage HTVC010P,0.8861630173105582,1.6701333463216566,1.8846795834364567,0.88
s31,94,NC_025461.1,1,45871,45,14473,31.5515,0.511151,37.2,0,756276,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Lirvirus,Lirvirus SCBP3,0.5111508360401997,0.8953437275065136,1.751623325988454,0.82
s31,158,NC_048171.1,1,45424,50,13995,30.8097,0.64226,38,23.2,2545435,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Qadamvirus,Qadamvirus SB28,0.6422595984501585,1.1965659011755223,1.8630564713442426,0.91
s31,67,NC_020851.1,1,208007,232,63225,30.3956,0.618628,37.4,28.4,754042,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Llyrvirus,Llyrvirus SSKS1,0.6186282192426217,1.2785078015254188,2.0666819937355574,4.24
s31,184,NC_070963.1,1,240842,452,72800,30.2273,1.0558,37.9,32.3,2781608,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Serangoonvirus,Serangoonvirus essarone,1.0557959159947186,2.5886883051308094,2.4518832341682963,8.25
s31,32,NC_015279.1,1,190789,241,55643,29.1647,0.624664,38,26.6,444860,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Nilusvirus,Nilusvirus ssm2,0.6246638957172583,1.5771985498405219,2.524875474,4.4
s31,72,NC_020865.1,1,45730,37,12176,26.6258,0.452351,37.1,0.676,889951,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Sednavirus,Sednavirus SRIP2,0.4523507544281653,0.9313016773374665,2.0588042978169945,0.68
s31,64,NC_020838.1,1,45728,45,11636,25.4461,0.438309,37.7,0.644,754040,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Sednavirus,Sednavirus SRIP2,0.4383091322603219,0.8805987785852878,2.0090815220849194,0.82
s31,160,NC_048184.1,1,47375,44,11625,24.5383,0.382522,37.7,1.36,756276,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Lirvirus,Lirvirus SCBP3,0.38252242744063325,0.7861858571632606,2.0552673536645774,0.8
s31,92,NC_025455.1,1,46237,28,10792,23.3406,0.33099,36.7,56.6,756277,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Kembevirus,Kembevirus SCBP2,0.33099033241776066,0.6662244418141998,2.0128214529641375,0.51
s31,138,NC_047703.1,1,37553,10,8707,23.1859,0.271137,38,47.9,2741076,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Fussvirus,Fussvirus S30C28,0.2711367933320906,0.525525712,1.938230903897033,0.18
s31,29,NC_014765.1,1,198519,116,42564,21.4408,0.341741,37.6,43.7,880159,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,Bathycoccus sp. RCC1105 virus BpV,0.34174058906200416,1.4604631763421099,4.273601741,2.12
s31,149,NC_047838.1,1,204930,181,40986,20,0.415069,37.4,29,2023996,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Bellamyvirus,Bellamyvirus bellamy,0.4150685599960962,1.1913133031906316,2.8701603012327315,3.31
s31,172,NC_055761.1,1,144311,97,28431,19.7012,0.343058,37.1,20.3,2100130,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Makelovirus,Makelovirus prm1,0.3430577017690959,0.881600215,2.569830703727061,1.77
s31,140,NC_047709.1,1,44705,25,8504,19.0225,0.28791,37.5,18.4,2740801,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Ashivirus,Ashivirus S45C4,0.2879096297953249,0.7555086466581028,2.624117321797101,0.46
s31,183,NC_070962.1,1,228827,181,42440,18.5468,0.367387,37.9,26.6,2588487,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Zhoulongquanvirus,Zhoulongquanvirus esscess,0.3673867157284761,1.0124635371938742,2.7558523317488537,3.31
s31,153,NC_048034.1,1,28224,16,5148,18.2398,0.420564,37.9,25.3,743578,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Powvirus,Powvirus S08C41,0.4205640589569161,1.180372370711134,2.8066410944356397,0.29
s31,115,NC_031922.1,1,174830,180,31069,17.771,0.388715,37.8,19.2,1883369,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Kanaloavirus,Kanaloavirus scam9,0.38871475147285933,2.358335770711377,6.067008678666108,3.29
s31,61,NC_020484.1,1,147284,203,25302,17.1791,0.922952,39.6,29.1,1283076,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,unclassified Kyanoviridae genus,Pelagibacter phage HTVC008M,0.9229515765459928,3.328221695859418,3.606063178649942,3.71
s31,60,NC_020483.1,1,42084,15,6843,16.2603,0.173201,40.2,44.4,1283079,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pelagivirus,Pelagivirus HTVC019P,0.17320121661439028,0.4133539923073159,2.386553630437794,0.27
s31,163,NC_048671.1,1,40907,27,5892,14.4034,0.442663,37.1,23,2847823,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Veravirus,Veravirus septentrionalis,0.44266262497861003,1.8001465676079647,4.066633291425834,0.49
s31,49,NC_016766.1,1,69420,62,8811,12.6923,0.658672,38,34.2,756275,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Synechococcus phage S-CBS4,0.6586718524920772,2.702845981,4.103478797440386,1.13
s31,119,NC_032542.1,1,9416,3,1177,12.5,0.175658,37.4,38,1922605,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 6,0.17565845369583688,0.49610429219337954,2.8242551483028184,0.05
s31,17,NC_008912.1,1,3141,1,367,11.6842,0.116842,42.6,3,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.11684177013689907,0.32123164677250476,2.749287745265497,0.02
s31,30,NC_014767.1,1,184095,26,17457,9.4826,0.105125,35.4,38.8,880161,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,Micromonas sp. RCC1109 virus MpV1,0.10512507129471196,0.3414756735865276,3.2482800666001035,0.47
s31,154,NC_048049.1,1,181082,79,14406,7.95551,0.185303,38.1,16.2,2268578,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Tamkungvirus,Tamkungvirus ST4,0.18530279100076208,0.8882239763383294,4.793365342968182,1.44
s31,141,NC_047710.1,1,43444,17,3298,7.59138,0.129224,39.1,11,2740802,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pedosvirus,Pedosvirus S28C3,0.12922382837676089,0.7439492507534016,5.757059360479298,0.31
s31,59,NC_020482.1,1,39921,8,2772,6.94371,0.0974174,39.8,46.6,1283078,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Stopavirus,Stopavirus HTVC011P,0.097417399,0.3793254166226701,3.8938158799160743,0.15
s31,137,NC_047702.1,1,42564,5,2928,6.87905,0.0687905,39.9,50.2,2741075,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pelagivirus,Pelagivirus S35C6,0.068790527,0.2530975910055206,3.679250636,0.09
s31,190,NC_074583.1,1,4387,6,297,6.77,0.314794,37,15.3,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,0.3147937086847504,1.1844165077000635,3.762516451325256,0.11
