sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
m12,13,NC_032206.1,1,8955,15,2970,33.1658,1.06924,35.2,42,1922578,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 35,1.0692350642099386,1.9663578742954082,1.8390323513645306,0.66
m12,16,NC_032617.1,1,8626,7,1646,19.0818,0.547879,33.2,55,1922535,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 107,0.5478785068397867,1.4644217989609012,2.6728951413112005,0.31
m12,6,NC_020481.1,1,34892,3,1275,3.65413,0.0514445,36.7,45,1283077,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pelagibacter phage HTVC010P,0.051444457,0.2803643777690909,5.449846166640178,0.13
m12,15,NC_032517.1,1,1404,4,1188,84.6154,2.17308,31.6,52.5,1922355,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai barnacle virus 11,2.173076923076923,1.0967909379659326,0.5047179537542346,0.18
m12,12,NC_032154.1,1,3073,12,1088,35.4051,2.67003,34,36.8,1922709,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai sphaeromadae virus 3,2.670029287,4.097232233399832,1.534527075348895,0.53
m12,31,NC_077036.1,1,6089,2,1031,16.9322,0.169322,35.6,13.5,748192,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,unclassified Parvoviridae genus,uncultured densovirus,0.1693217277056988,0.3750358385974034,2.2149303794564394,0.09
m12,20,NC_038532.1,1,5050,1,934,18.495,0.18495,34.1,37,1979755,Viruses,Shotokuvirae,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Aquambidensovirus,Aquambidensovirus asteroid1,0.18495049504950495,0.38825740099893685,2.099250401546714,0.04
m12,0,NC_001664.4,1,159378,2,496,0.31121,0.00503834,36.8,4,32603,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a,0.005038337,0.094156403,18.687993992488376,0.09
m12,22,NC_040628.1,1,8620,1,477,5.53364,0.0553364,31.3,60,2480178,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Halhan virus 3,0.055336427,0.2286357512956531,4.131740411254779,0.04
m12,25,NC_047838.1,1,204930,1,460,0.224467,0.00224467,38.2,1,2023996,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Bellamyvirus,Bellamyvirus bellamy,0.002244669,0.047324733,21.083168642307932,0.04
m12,5,NC_015279.1,1,190789,1,453,0.237435,0.00237435,35.7,1,444860,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Nilusvirus,Nilusvirus ssm2,0.002374351,0.048669428,20.497994302356258,0.04
m12,14,NC_032481.1,1,9054,2,436,4.81555,0.0858184,36.5,1,1922435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai mollusks virus 2,0.085818423,0.39214722228520155,4.569499292883159,0.09
m12,18,NC_033778.1,1,111453,2,431,0.38671,0.00612814,38.7,2.5,552509,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Leptopilina boulardi filamentous virus,0.006128144,0.1030178387435114,16.81061080743862,0.09
m12,2,NC_008912.1,1,3141,3,430,13.6899,0.356574,40.7,11.7,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.3565743393823623,0.9327322289816826,2.615814224313808,0.13
m12,29,NC_075546.1,1,437255,1,380,0.0869058,0.000869058,40.8,42,2565304,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prymnesiovirus,Chrysochromulina parva virus,0.000869058,0.029466978791945108,33.90679950439989,0.04
m12,27,NC_074583.1,1,4387,311,304,6.92956,19.0597,33,46.2,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,19.059721905630273,71.80427699560978,3.767330780120075,13.71
m12,7,NC_022790.1,1,4129,1,280,6.7813,0.067813,28.2,60,1385658,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Marine gokushovirus,0.06781303,0.2514247855325555,3.7076176409425776,0.04
m12,19,NC_034446.1,1,147346,1,275,0.186636,0.00186636,28.7,3,35243,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus atelinealpha1,0.001866355,0.043161002059759805,23.125821852717703,0.04
m12,3,NC_008913.1,1,3157,2,258,8.17232,0.145074,35.2,1.5,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.1450744377573646,0.5007298782714138,3.451537611,0.09
m12,30,NC_076102.1,1,252940,1,252,0.0996284,0.000996284,35.6,1,109981,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,unclassified Poxviridae genus,Diachasmimorpha entomopoxvirus,0.000996284,0.031548235,31.66591477804109,0.04
m12,10,NC_028092.1,1,193301,9,159,0.0822551,0.00609412,39.6,3.67,1663210,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Prasinovirus,Ostreococcus mediterraneus virus 1,0.006094123,0.2226767918751969,36.539598086814465,0.4
m12,24,NC_043314.1,1,140906,4,151,0.107164,0.00410203,37.4,0.5,2083300,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Bracoviriform,Bracoviriform facetosae,0.004102025,0.12680303753472885,30.91229897382094,0.18
m12,26,NC_074405.1,1,3924,78,136,3.46585,2.47018,31.9,23.1,2786389,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Kinglevirus,Kinglevirus lutadaptatum,2.470183486238532,13.12804026695288,5.314601259416393,3.44
m12,21,NC_040536.1,1,183261,189,134,0.0731198,0.0829364,38.8,10.2,2072209,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,0.082936359,3.5611186318762216,42.93796707653584,8.33
m12,8,NC_024451.1,1,220222,3,120,0.0544905,0.00159839,36.5,2.33,72201,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Iridoviridae,Iridovirus,Invertebrate iridescent virus 31,0.001598387,0.068899911,43.10589804817032,0.13
m12,1,NC_008168.1,1,104710,1596,91,0.0869067,1.31377,34.5,25.3,56947,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Baculoviridae,Betabaculovirus,Betabaculovirus chofumiferanae,1.3137713685416865,44.941657447999205,34.20812671377165,70.34
m12,28,NC_075037.1,1,1016844,1,62,0.0060973,6.0973e-05,32.4,1,1247379,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Mimiviridae,Moumouvirus,Moumouvirus goulettemassiliense,6.097297127189618e-05,0.007808281,128.06135122440077,0.04
