sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
oy42,11,NC_019491.1,1,291144,15,1263,0.433806,0.0172904,32.8,0,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,0.017290413,0.314520937,18.19048144,0.01
oy42,13,NC_032554.1,1,9395,1,623,6.63119,0.0663119,40.2,60,1922674,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai sipunculid worm virus 2,0.066311868,0.248826454,3.752366829,0
oy42,14,NC_033778.1,1,111453,16,511,0.458489,0.0434443,41.4,5.69,552509,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Leptopilina boulardi filamentous virus,0.043444322,0.708748989,16.31396139,0.01
oy42,0,NC_001650.2,1,184439,1,482,0.261333,0.00261333,25.2,0,12657,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma2,0.00261333,0.0510539,19.53595472,0
oy42,17,NC_055761.1,1,144311,1,467,0.323607,0.00323607,38,1,2100130,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Makelovirus,Makelovirus prm1,0.003236067,0.056794317,17.55041682,0
oy42,1,NC_001664.4,1,159378,1,461,0.289249,0.00289249,35.7,1,32603,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a,0.002892495,0.053704079,18.56669983,0
oy42,10,NC_018271.1,1,35700,1,386,1.08123,0.0108123,41.7,60,1168478,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Inhavirus,Inhavirus P12024S,0.010812325,0.103418657,9.564886128,0
oy42,9,NC_013085.1,1,194454,1,362,0.186162,0.00186162,38.4,1,555387,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Gibbetvirus,Gibbetvirus rsm4,0.001861623,0.043106347,23.15525309,0
oy42,7,NC_008912.1,1,3141,2,344,10.9519,0.166826,41.2,1,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.166825852,0.503595242,3.018688271,0
oy42,12,NC_032111.1,1,163005,1,295,0.180976,0.00180976,43.9,40,67082,Viruses,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Oryzopoxvirus,BeAn 58058 virus,0.00180976,0.042502767,23.48530013,0
oy42,19,NC_074583.1,1,4387,11,294,6.70162,0.689993,38.1,13.9,2786405,Viruses,Orthornavirae,Lenarviricota,Leviviricetes,Timlovirales,Steitzviridae,Gihfavirus,Gihfavirus pelohabitans,0.689993162,2.585946426,3.747785587,0.01
