sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
dolphin_serum,3,NC_001716.2,1,153080,60,1649,1.07721,0.144859,29.8,0.0333,10372,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta7,0.1448588973085968,1.672118681642836,11.543085807706216,4.82
dolphin_serum,15,NC_019711.1,1,47288,1,1457,3.08112,0.0308112,33.5,0,1147148,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lambdavirus,Lambdavirus HK629,0.030811199458636442,0.17280587214142112,5.6085408934958965,0.08
dolphin_serum,7,NC_007346.1,1,407339,42,1255,0.308097,0.0312295,35.2,7.38,181082,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Coccolithovirus,Emiliania huxleyi virus 86,0.031229516446988872,0.7115717488404119,22.785231082533176,3.37
dolphin_serum,1,NC_001650.2,1,184439,40,1230,0.666887,0.0973276,29.5,0.35,12657,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Percavirus,Percavirus equidgamma2,0.097327572,1.3061495998547001,13.42013960490229,3.21
dolphin_serum,2,NC_001664.4,1,159378,20,1213,0.761084,0.0496555,34.4,5.2,32603,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Roseolovirus,Roseolovirus humanbeta6a,0.049655535895794904,0.7336373476825232,14.77453287830998,1.61
dolphin_serum,14,NC_019491.1,1,291144,40,1180,0.405298,0.0378988,29.8,0,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,0.037898772,0.7151818817873614,18.87084591182704,3.21
dolphin_serum,24,NC_040536.1,1,183261,119,722,0.393974,0.0890151,35.2,12.8,2072209,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,Naldaviricetes,Lefavirales,Nudiviridae,Alphanudivirus,Alphanudivirus tertidromelanogasteris,0.089015121,2.885439112223544,32.41515706,9.56
dolphin_serum,5,NC_002577.1,1,164270,3,693,0.421866,0.00737201,28,1,35250,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Mardivirus,Mardivirus gallidalpha3,0.007372009,0.11755489959823547,15.946113424444377,0.24
dolphin_serum,33,NC_076967.1,1,133999,1,636,0.47463,0.0047463,24.5,3,2597325,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Rhadinovirus,Rhadinovirus colobinegamma1,0.004746304,0.068729736,14.480685466245333,0.08
dolphin_serum,34,NC_077221.1,1,1421182,1,595,0.0418666,0.000418666,43,19,1499987,Viruses,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Imitervirales,Schizomimiviridae,Biavirus,Biavirus raunefjordenense,0.000418666,0.020457036,48.862472066715696,0.08
dolphin_serum,17,NC_024382.1,1,137090,2,557,0.406302,0.00406302,40.2,0.5,138184,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus alcelaphinegamma2,0.004063024,0.063612233,15.656375141943805,0.16
dolphin_serum,8,NC_007646.1,1,135135,2,514,0.38036,0.00517261,34.9,12.5,10398,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Macavirus,Macavirus ovinegamma2,0.005172605,0.088791058,17.165636177327077,0.16
dolphin_serum,12,NC_008913.1,1,3157,3,496,15.7111,0.180234,36.7,4,419435,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Polydnaviriformidae,Ichnoviriform,Ichnoviriform fumiferanae,0.18023439974659486,0.440450221,2.4437633540161157,0.24
