sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
sd3,86,NC_033131.1,1,9166,223,7894,86.1226,13.4368,38.2,37.5,1923637,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wenzhou picorna-like virus 5,13.43683177,10.94138134,0.814282826,12.13
sd3,31,NC_020481.1,1,34892,155,23430,67.1501,2.95919,39.7,44.7,1283077,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pelagibacter phage HTVC010P,2.959188353,3.628363293,1.226134622,8.43
sd3,53,NC_022790.1,1,4129,33,2622,63.5021,3.05328,37.9,56.6,1385658,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Marine gokushovirus,3.053281666,2.967992572,0.972066418,1.8
sd3,80,NC_032202.1,1,5201,9,2258,43.4147,0.729283,36.8,28.1,1922725,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai tombus-like virus 4,0.72928283,1.008408241,1.382739589,0.49
sd3,59,NC_026654.1,1,2142,4,857,40.0093,0.767974,39.4,48.2,1618249,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Avon-Heathcote Estuary associated circular virus 25,0.767973856,1.099121754,1.431196837,0.22
sd3,27,NC_016658.1,1,47741,66,18381,38.5015,0.761945,37.7,46,445693,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Cheungvirus,Cheungvirus NATL1A7,0.76194466,1.259450366,1.652942048,3.59
sd3,66,NC_027786.1,1,2293,8,794,34.6271,1.50981,37.9,46.6,1692257,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Palaemonetes intermedius brackish grass shrimp associated circular virus,1.509812473,2.263596244,1.499256553,0.44
sd3,52,NC_021864.1,1,55282,58,18990,34.3511,0.797547,38.7,33.1,948071,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Puniceispirillum phage HMO-2011,0.797547122,1.399647396,1.754940062,3.16
sd3,108,NC_048031.1,1,20430,23,6593,32.2712,0.453108,39.3,43.4,743543,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pekhitvirus,Pekhitvirus S04C24,0.453108174,0.739639738,1.632369002,1.25
sd3,4,NC_002519.1,1,39898,24,8474,21.2392,0.295203,37.8,26.2,2905867,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Siovirus,Siovirus americense,0.295202767,0.725893377,2.458965354,1.31
sd3,119,NC_048671.1,1,40907,20,8654,21.1553,0.365023,37.9,33,2847823,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Zobellviridae,Veravirus,Veravirus septentrionalis,0.365023101,0.85622049,2.345661102,1.09
sd3,107,NC_048030.1,1,10313,5,2156,20.9057,0.273344,41.1,60,743571,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Jalkavirus,Jalkavirus S08C159,0.273344323,0.572016423,2.092658876,0.27
sd3,5,NC_003487.1,1,3762,2,775,20.6007,0.283892,33.3,60,12056,Viruses,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Betanecrovirus,Betanecrovirus nicotianae,0.283891547,0.599220615,2.110737783,0.11
sd3,81,NC_032206.1,1,8955,4,1816,20.2792,0.246901,37.7,39.5,1922578,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai picorna-like virus 35,0.246901173,0.523602765,2.120697767,0.22
