sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
oy54,75,NC_070963.1,1,240842,36,11350,4.71263,0.0701207,39.9,28.9,2781608,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Serangoonvirus,Serangoonvirus essarone,0.07012066,0.370070312,5.277621636,0.24
oy54,50,NC_033101.1,1,12660,22,6854,54.139,1.10845,37.9,60,1923639,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wenzhou picorna-like virus 51,1.108451817,1.271453984,1.147053904,0.15
oy54,24,NC_020851.1,1,208007,12,3607,1.73408,0.0278356,40.2,32.9,754042,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Llyrvirus,Llyrvirus SSKS1,0.027835602,0.26815187,9.633413836,0.08
oy54,47,NC_032974.1,1,4423,37,2879,65.0916,5.16346,37.9,57.2,1922744,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai weivirus-like virus 16,5.163463712,5.439216999,1.053404711,0.25
oy54,26,NC_020867.1,1,44892,8,2730,6.08126,0.0829324,40.3,45.6,754041,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Kajamvirus,Kajamvirus SRIP1,0.082932371,0.3468344,4.182135344,0.05
oy54,44,NC_031922.1,1,174830,3,2266,1.29612,0.0129612,38.4,16,1883369,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Kanaloavirus,Kanaloavirus scam9,0.012961162,0.113106899,8.726601548,0.02
oy54,18,NC_019491.1,1,291144,296,1386,0.476053,0.412315,30.9,0.0338,317858,Viruses,Heunggongvirae,Peploviricota,Herviviricetes,Herpesvirales,Alloherpesviridae,Cyvirus,Cyvirus cyprinidallo1,0.412314868,6.765941455,16.40964704,1.96
oy54,64,NC_048049.1,1,181082,5,1358,0.749936,0.0155344,39.9,47.2,2268578,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Tamkungvirus,Tamkungvirus ST4,0.015534399,0.198364517,12.769372,0.03
oy54,74,NC_070962.1,1,228827,3,1273,0.556315,0.00556315,39.9,7,2588487,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Zhoulongquanvirus,Zhoulongquanvirus esscess,0.005563155,0.074378801,13.36989619,0.02
oy54,25,NC_020854.1,1,40658,6,1247,3.06705,0.0844114,40.5,6.33,889953,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Cyanophage KBS-S-2A,0.084411432,0.588021759,6.966138895,0.04
