sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
sealion_feces,21,NC_009231.1,1,56538,83,13446,23.7822,0.805458,39.9,13.6,2849703,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yongloolinvirus,Yongloolinvirus C2,0.8054582758498708,2.5396889741033926,3.1530981184887157,0.77
sealion_feces,27,NC_015568.1,1,41090,102,11693,28.457,1.26038,40.1,49.3,1032362,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD382,1.260379654417133,4.390567108542946,3.4835274380665715,0.94
sealion_feces,51,NC_028959.1,1,52261,63,10126,19.3758,0.664147,39.5,0,1582157,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yongloolinvirus,Yongloolinvirus MMP03,0.6641472608637417,2.0301261053560467,3.0567409142300943,0.58
sealion_feces,48,NC_028905.1,1,41560,61,10083,24.2613,0.717878,40,44.6,1582150,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD111,0.7178777670837344,1.8665094371053643,2.600037948922371,0.56
sealion_feces,15,NC_007917.1,1,53325,127,9499,17.8134,1.24465,40.3,51,2883936,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lubbockvirus,Lubbockvirus CD119,1.2446507266760432,5.150790064286615,4.138341748325078,1.17
sealion_feces,52,NC_028996.1,1,54295,75,9420,17.3497,0.556331,40.6,9.68,1522092,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Lubbockvirus,Lubbockvirus CDHM19,0.5563311538815728,1.8651147246498831,3.352526119806178,0.69
sealion_feces,47,NC_028883.1,1,44461,29,7289,16.3941,0.375902,40.5,10.3,1582156,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yongloolinvirus,Yongloolinvirus MMP01,0.37590247632756796,1.1146319560320206,2.965215783949002,0.27
sealion_feces,34,NC_024144.1,1,54279,37,7010,12.9148,0.32005,39.2,37.4,1411095,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Yongloolinvirus,Yongloolinvirus CDMH1,0.3200501114611544,1.2050582842673896,3.765217511613495,0.34
sealion_feces,50,NC_028958.1,1,41507,20,3081,7.42284,0.192257,40.4,3.9,1582151,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Leicestervirus,Leicestervirus CD146,0.19225672778085623,0.9270730603913891,4.822057834293909,0.18
sealion_feces,85,NC_048643.1,1,50605,12,2997,5.92234,0.105879,39.9,6,1868595,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Colneyvirus,Colneyvirus CDKM15,0.10587886572473076,0.5101228231350483,4.817985342431713,0.11
