sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
s26,12,NC_015279.1,1,190789,79,28537,14.9574,0.209881,38,40.3,444860,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Nilusvirus,Nilusvirus ssm2,0.20988107280818077,0.6174053254315145,2.9416912976988043,2.86
s26,35,NC_020851.1,1,208007,85,27854,13.3909,0.186686,38.5,25.9,754042,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,Llyrvirus,Llyrvirus SSKS1,0.18668602498954362,0.540168091,2.8934575626928853,3.08
s26,39,NC_020867.1,1,44892,247,25313,56.3864,2.46879,38,39,754041,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Kajamvirus,Kajamvirus SRIP1,2.468791766907244,4.744541730120852,1.9218071745534588,8.96
s26,113,NC_070963.1,1,240842,76,24028,9.97667,0.151016,38.9,30.2,2781608,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Serangoonvirus,Serangoonvirus essarone,0.15101601880070753,0.581948028,3.8535516461576624,2.76
s26,54,NC_025464.1,1,44147,322,21983,49.795,2.7388,38.2,3.43,754059,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Poseidonvirus,Poseidonvirus SCBP4,2.7388044487734162,7.778235245336871,2.8400111767090137,11.68
s26,89,NC_047838.1,1,204930,49,19925,9.72283,0.126224,37.6,31.8,2023996,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Bellamyvirus,Bellamyvirus bellamy,0.12622358854242913,0.41979269127852104,3.325786377380729,1.78
s26,95,NC_048183.1,1,41824,347,18161,43.4224,3.4079,37.9,0.493,754059,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Poseidonvirus,Poseidonvirus SCBP4,3.4078997704667175,11.460398896761628,3.362892006413706,12.58
s26,91,NC_048031.1,1,20430,202,16616,81.3314,5.14523,37.6,47.6,743543,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pekhitvirus,Pekhitvirus S04C24,5.145227606461087,6.572611521087912,1.2774190033565078,7.32
s26,102,NC_055761.1,1,144311,61,16572,11.4835,0.204669,37.6,22.1,2100130,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Makelovirus,Makelovirus prm1,0.2046690827449051,0.7974834734708188,3.8964530586419057,2.21
s26,69,NC_031922.1,1,174830,55,15474,8.85088,0.135617,37.8,21.1,1883369,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Kanaloavirus,Kanaloavirus scam9,0.13561745695818794,0.6146438406295033,4.532188218357489,1.99
s26,94,NC_048171.1,1,45424,51,14864,32.7228,0.510677,39.2,28.8,2545435,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Qadamvirus,Qadamvirus SB28,0.5106771750616415,0.9264614794415058,1.8141822753869448,1.85
s26,47,NC_021864.1,1,55282,51,14307,25.88,0.495803,39.5,28.6,948071,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Puniceispirillum phage HMO-2011,0.4958033356246156,1.0391344532629576,2.095860149778643,1.85
s26,112,NC_070962.1,1,228827,45,13522,5.90927,0.0864583,37.9,24.3,2588487,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,Zhoulongquanvirus,Zhoulongquanvirus esscess,0.086458329,0.4225230588555015,4.887013950097445,1.63
s26,34,NC_020838.1,1,45728,80,13169,28.7985,0.708931,37.6,0.463,754040,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Sednavirus,Sednavirus SRIP2,0.7089310706787963,1.8159729856695925,2.5615649543062227,2.9
s26,52,NC_025456.1,1,46547,116,12618,27.1081,1.19834,37.7,36,1273711,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,unclassified Autographiviridae genus,Synechococcus phage S-CBP1,1.198337164586332,4.163714571167433,3.4745768505016317,4.21
s26,96,NC_048184.1,1,47375,58,10822,22.8433,0.446923,37.8,1.03,756276,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Lirvirus,Lirvirus SCBP3,0.4469234828496042,1.2805530557963976,2.865262410539571,2.1
s26,31,NC_020484.1,1,147284,68,10761,7.30629,0.217132,40,27.4,1283076,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Kyanoviridae,unclassified Kyanoviridae genus,Pelagibacter phage HTVC008M,0.21713152820401402,1.0740365853022442,4.946479187919191,2.47
s26,38,NC_020865.1,1,45730,60,10335,22.6,0.46171,37.6,0.3,889951,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Sednavirus,Sednavirus SRIP2,0.4617100371747212,1.136703086,2.461941465758014,2.18
