sample,index,reference,startpos,ref length,number of reads,covbases,pc coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads
sd1,107,NC_026654.1,1,2142,27,1866,87.1148,4.17554,37.3,51.4,1618249,Viruses,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,unclassified Circoviridae genus,Avon-Heathcote Estuary associated circular virus 25,4.175536881,5.948738308,1.424664295,0.19
sd1,146,NC_032202.1,1,5201,76,4252,81.7535,5.97231,37,39.1,1922725,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Beihai tombus-like virus 4,5.972313017,6.15523739,1.030628732,0.54
sd1,158,NC_033131.1,1,9166,954,7323,79.8931,43.9231,38.4,34.5,1923637,Viruses,unclassified Viruses kingdom,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Wenzhou picorna-like virus 5,43.92308532,48.68157767,1.108336933,6.83
sd1,55,NC_020481.1,1,34892,2419,26426,75.7366,19.0889,40,38.1,1283077,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Pelagibacter phage HTVC010P,19.0889029,63.12473668,3.306881333,17.32
sd1,196,NC_048030.1,1,10313,86,7265,70.4451,2.5846,40.1,52.8,743571,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Jalkavirus,Jalkavirus S08C159,2.584601959,4.18312553,1.618479595,0.62
sd1,249,NC_076286.1,1,2358,175,1534,65.0551,16.5874,37.9,55.1,2584390,Viruses,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,Gemycircularvirus,Gemycircularvirus dichism1,16.58736217,47.46861605,2.861733864,1.25
sd1,87,NC_022790.1,1,4129,200,2604,63.0661,13.6387,39,55.7,1385658,Viruses,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,unclassified Microviridae genus,Marine gokushovirus,13.63865343,15.30254247,1.121998044,1.43
sd1,45,NC_016658.1,1,47741,1198,27725,58.0738,7.47364,38.2,47,445693,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Cheungvirus,Cheungvirus NATL1A7,7.47363901,37.16734331,4.973125309,8.58
sd1,197,NC_048031.1,1,20430,291,11530,56.4366,4.78282,38.3,37.2,743543,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,Autographiviridae,Pekhitvirus,Pekhitvirus S04C24,4.782819383,7.820769346,1.635179738,2.08
sd1,65,NC_020847.1,1,38327,83,16126,42.0748,0.87077,39.9,5.78,889955,Viruses,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes order,unclassified Caudoviricetes family,unclassified Caudoviricetes genus,Prochlorococcus phage MED4-184,0.870769953,1.439801189,1.653480559,0.59
